rob01|Look at their faces and laugh silently to herself, they meant what they were saying. | Look at their faces and laugh silently to herself, they meant what they were saying.
rob02|The only thing was loving them as sister, lover, mother, she also knew them | The only thing was loving them as sister, lover, mother, she also knew them
rob03|She knew them as intimately as the hems of her dresses. | She knew them as intimately as the hems of her dresses.
rob04|That it was so much easier to talk about the beauty of being oneself. | That it was so much easier to talk about the beauty of being oneself.
rob05|Not to struggle to look like white girls. Not straightening one’s hair. And above all, not to wear the wig | Not to struggle to look like white girls. Not straightening one’s hair. And above all, not to wear the wig
rob06|The wig. Ah, the wig. They say it is made of artificial fibre. | The wig. Ah, the wig. They say it is made of artificial fibre.
rob07|Others swear that, if it is not gypsy hair, then it is Chinese. | Others swear that, if it is not gypsy hair, then it is Chinese.
rob08|Extremists are sure they are made from the hairs of dead white folk. | Extremists are sure they are made from the hairs of dead white folk.
rob09|This one gave her nightmares, for she had read somewhere, a long time ago, about Germans making lampshades out of Jewish people’s skins. | This one gave her nightmares, for she had read somewhere, a long time ago, about Germans making lampshades out of Jewish people’s skins.
rob10| And she would shiver for all the world to see. At other times, when her world as sweet like when she was with Fiifi | And she would shiver for all the world to see. At other times, when her world as sweet like when she was with Fiifi 
rob11|The pictures that that came into her mind were not so terrible. She would just think of the words of that crazy highlife song and laugh. | The pictures that that came into her mind were not so terrible. She would just think of the words of that crazy highlife song and laugh.
rob12|The one about the people at home scrambling to pay exorbitant prices for second-hand clothes from America | The one about the people at home scrambling to pay exorbitant prices for second-hand clothes from America 
rob13|She would also try to remember some other truths she knew about Africa. Second-rate experts giving first-class dangerous advice. | she would also try to remember some other truths she knew about Africa. Second-rate experts giving first-class dangerous advice.
rob14|Or expressing uselessly fifth-rate opinions. Second-hand machinery from someone else’s junkyard | Or expressing uselessly fifth-rate opinions. Second-hand machinery from someone else’s junkyard
rob15|Snow-ploughs for tropical farms. Outmoded tractors. Discarded aeroplanes. And now, wigs made from other people’s unwanted hair. | Snow-ploughs for tropical farms. Outmoded tractors. Discarded aeroplanes. And now, wigs made from other people’s unwanted hair.
rob16|At this point, tough though she was, tears would come into her eyes. Perhaps her people had really missed the boat of original thinking after all? | At this point, tough though she was, tears would come into her eyes. Perhaps her people had really missed the boat of original thinking after all?
rob17|And if Fiifi asked her what was wrong, she explained, telling the same story every time. He always shook his head and laughed at her, which meant that in the end, she would laugh with him. | And if Fiifi asked her what was wrong, she explained, telling the same story every time. He always shook his head and laughed at her, which meant that in the end, she would laugh with him.
rob18|At the beginning, she used to argue with them, earnestly. ‘But what has wearing wigs got to do with the revolution?’ A lot sister, they would say. How? She would ask, struggling not to understand. | At the beginning, she used to argue with them, earnestly. ‘But what has wearing wigs got to do with the revolution?’ A lot sister, they would say. How? She would ask, struggling not to understand.
rob19|Because it means we have no confidence in ourselves. Of course, she understood what they meant. But this is funny. Listen, my brothers, if we honestly tackled the problems facing us, we wouldn’t have to worry about such trifles as wigs. | Because it means we have no confidence in ourselves. Of course, she understood what they meant. But this is funny. Listen, my brothers, if we honestly tackled the problems facing us, we wouldn’t have to worry about such trifles as wigs.
rob20|She made them angry. Not with the mild displeasure of brothers, but with the hatred of wounded lovers. | She made them angry. Not with the mild displeasure of brothers, but with the hatred of wounded lovers.
rob21|They looked terrible, their eyes changing, turning red and warning her that if she wasn’t careful, they would destroy her. | they looked terrible, their eyes changing, turning red and warning her that if she wasn’t careful, they would destroy her.
rob22|Ah, they frightened her a lot, quite often too. Especially when she thought of what filled them with that kind of hatred. | Ah, they frightened her a lot, quite often too. Especially when she thought of what filled them with that kind of hatred
